date,listeners,streams,followers
2024-01-01,0,0,18
2024-01-02,0,0,18
2024-01-03,0,0,18
2024-01-04,0,0,18
2024-01-05,1,1,18
2024-01-06,0,0,18
2024-01-07,0,0,18
2024-01-08,0,0,18
2024-01-09,2,3,18
2024-01-10,0,0,18
2024-01-11,2,5,18
2024-01-12,1,1,18
2024-01-13,1,1,18
2024-01-14,0,0,18
2024-01-15,0,0,18
2024-01-16,0,0,18
2024-01-17,0,0,18
2024-01-18,2,2,18
2024-01-19,1,1,18
2024-01-20,0,0,18
2024-01-21,2,3,18
2024-01-22,0,0,18
2024-01-23,1,1,18
2024-01-24,0,0,18
2024-01-25,2,14,18
2024-01-26,1,1,18
2024-01-27,2,2,18
2024-01-28,0,0,18
2024-01-29,0,0,18
2024-01-30,0,0,18
2024-01-31,1,1,18
2024-02-01,1,1,18
2024-02-02,0,0,18
2024-02-03,0,0,18
2024-02-04,1,2,18
2024-02-05,0,0,18
2024-02-06,0,0,18
2024-02-07,1,1,18
2024-02-08,1,1,18
2024-02-09,1,1,18
2024-02-10,0,0,18
2024-02-11,0,0,18
2024-02-12,0,0,18
2024-02-13,1,1,18
2024-02-14,1,2,18
2024-02-15,0,0,18
2024-02-16,0,0,18
2024-02-17,0,0,18
2024-02-18,1,1,18
2024-02-19,0,0,18
2024-02-20,0,0,18
2024-02-21,0,0,18
2024-02-22,2,2,18
2024-02-23,0,0,18
2024-02-24,0,0,18
2024-02-25,0,0,18
2024-02-26,0,0,18
2024-02-27,0,0,18
2024-02-28,1,1,18
2024-02-29,0,0,18
2024-03-01,1,1,18
2024-03-02,0,0,18
2024-03-03,1,1,18
2024-03-04,0,0,18
2024-03-05,0,0,18
2024-03-06,0,0,18
2024-03-07,0,0,18
2024-03-08,0,0,18
2024-03-09,1,1,18
2024-03-10,2,2,18
2024-03-11,0,0,18
2024-03-12,2,2,18
2024-03-13,0,0,18
2024-03-14,1,1,18
2024-03-15,0,0,18
2024-03-16,3,6,18
2024-03-17,2,3,18
2024-03-18,3,4,18
2024-03-19,1,1,18
2024-03-20,0,0,18
2024-03-21,1,1,18
2024-03-22,1,1,18
2024-03-23,0,0,18
2024-03-24,0,0,19
2024-03-25,0,0,19
2024-03-26,0,0,19
2024-03-27,0,0,19
2024-03-28,1,1,19
2024-03-29,1,2,19
2024-03-30,0,0,19
2024-03-31,0,0,19
2024-04-01,0,0,19
2024-04-02,1,1,19
2024-04-03,0,0,19
2024-04-04,0,0,19
2024-04-05,0,0,19
2024-04-06,1,1,19
2024-04-07,1,1,19
2024-04-08,2,2,19
2024-04-09,0,0,19
2024-04-10,0,0,19
2024-04-11,0,0,19
2024-04-12,0,0,19
2024-04-13,1,1,19
2024-04-14,1,1,19
2024-04-15,2,2,19
2024-04-16,0,0,19
2024-04-17,0,0,19
2024-04-18,0,0,19
2024-04-19,0,0,19
2024-04-20,0,0,19
2024-04-21,1,1,19
2024-04-22,0,0,19
2024-04-23,0,0,19
2024-04-24,0,0,19
2024-04-25,0,0,19
2024-04-26,0,0,19
2024-04-27,0,0,19
2024-04-28,0,0,19
2024-04-29,0,0,19
2024-04-30,0,0,19
2024-05-01,0,0,19
2024-05-02,0,0,19
2024-05-03,0,0,19
2024-05-04,0,0,19
2024-05-05,1,1,19
2024-05-06,0,0,19
2024-05-07,1,1,19
2024-05-08,1,1,19
2024-05-09,2,2,19
2024-05-10,0,0,19
2024-05-11,0,0,19
2024-05-12,0,0,19
2024-05-13,0,0,19
2024-05-14,0,0,19
2024-05-15,0,0,19
2024-05-16,0,0,19
2024-05-17,0,0,19
2024-05-18,1,2,19
2024-05-19,2,2,19
2024-05-20,2,17,19
2024-05-21,1,1,19
2024-05-22,1,1,19
2024-05-23,0,0,19
2024-05-24,1,1,19
2024-05-25,1,1,19
2024-05-26,0,0,19
2024-05-27,1,2,19
2024-05-28,0,0,20
2024-05-29,1,1,20
2024-05-30,1,1,20
2024-05-31,0,0,20
2024-06-01,2,2,20
2024-06-02,0,0,20
2024-06-03,0,0,20
2024-06-04,0,0,20
2024-06-05,0,0,20
2024-06-06,0,0,20
2024-06-07,2,3,20
2024-06-08,2,2,20
2024-06-09,2,2,20
2024-06-10,1,1,20
2024-06-11,1,1,20
2024-06-12,1,1,20
2024-06-13,0,0,20
2024-06-14,0,0,20
2024-06-15,0,0,20
2024-06-16,0,0,20
2024-06-17,0,0,20
2024-06-18,0,0,20
2024-06-19,0,0,20
2024-06-20,0,0,20
2024-06-21,0,0,20
2024-06-22,1,1,20
2024-06-23,0,0,20
2024-06-24,0,0,20
2024-06-25,0,0,20
2024-06-26,2,2,20
2024-06-27,0,0,20
2024-06-28,0,0,20
2024-06-29,0,0,20
2024-06-30,1,2,20
2024-07-01,0,0,20
2024-07-02,0,0,20
2024-07-03,0,0,20
2024-07-04,0,0,20
2024-07-05,0,0,21
2024-07-06,1,1,21
2024-07-07,0,0,21
2024-07-08,0,0,21
2024-07-09,0,0,21
2024-07-10,0,0,21
2024-07-11,0,0,21
2024-07-12,1,1,21
2024-07-13,0,0,21
2024-07-14,1,1,21
2024-07-15,0,0,21
2024-07-16,0,0,21
2024-07-17,0,0,21
2024-07-18,0,0,21
2024-07-19,1,5,21
2024-07-20,2,3,21
2024-07-21,0,0,21
2024-07-22,0,0,21
2024-07-23,0,0,21
2024-07-24,0,0,21
2024-07-25,1,1,21
2024-07-26,0,0,21
2024-07-27,0,0,21
2024-07-28,0,0,21
2024-07-29,0,0,21
2024-07-30,0,0,21
2024-07-31,0,0,21
2024-08-01,0,0,21
2024-08-02,1,2,21
2024-08-03,2,2,21
2024-08-04,0,0,21
2024-08-05,0,0,21
2024-08-06,0,0,21
2024-08-07,0,0,21
2024-08-08,0,0,21
2024-08-09,1,1,21
2024-08-10,0,0,21
2024-08-11,0,0,21
2024-08-12,0,0,21
2024-08-13,0,0,21
2024-08-14,0,0,21
2024-08-15,1,1,21
2024-08-16,0,0,21
2024-08-17,0,0,21
2024-08-18,0,0,21
2024-08-19,1,1,21
2024-08-20,0,0,21
2024-08-21,1,13,21
2024-08-22,0,0,21
2024-08-23,0,0,21
2024-08-24,0,0,21
2024-08-25,0,0,21
2024-08-26,1,2,21
2024-08-27,0,0,21
2024-08-28,1,1,21
2024-08-29,0,0,21
2024-08-30,378,437,21
2024-08-31,485,553,21
2024-09-01,524,552,22
2024-09-02,383,447,22
2024-09-03,359,400,23
2024-09-04,359,418,25
2024-09-05,363,411,25
2024-09-06,336,381,27
2024-09-07,436,518,27
2024-09-08,515,552,27
2024-09-09,415,468,27
2024-09-10,332,372,27
2024-09-11,350,380,27
2024-09-12,327,386,29
2024-09-13,348,417,29
2024-09-14,442,527,29
2024-09-15,476,508,32
2024-09-16,406,536,33
2024-09-17,371,425,34
2024-09-18,342,378,35
2024-09-19,341,391,36
2024-09-20,322,373,36
2024-09-21,440,494,38
2024-09-22,493,527,40
2024-09-23,361,397,41
2024-09-24,350,397,42
2024-09-25,350,388,42
